Name,WALS code,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
Enets,ene,"enf, enh",Samoyedic,Uralic,Eurasia,67.50,86.50,Russia
Enga,ena,enq,Enga_Kewa-Huli,Trans-New Guinea,Papunesia,-5.50,143.67,Papua New Guinea
Engenni,egn,enn,Edoid,Niger-Congo,Africa,5.17,6.38,Nigeria
Enggano,eno,eno,Enggano,Austronesian,Papunesia,-5.42,102.25,Indonesia
English,eng,eng,Germanic,Indo-European,Eurasia,52.00,0.00,IrelandUnited Kingdom
Enya,eny,gey,Bantu,Niger-Congo,Africa,-0.50,25.25,Democratic Republic of Congo
Epena Pedee,epe,sja,Choco,Choco,South America,3.00,-77.00,Colombia
Erromangan,err,erg,Oceanic,Austronesian,Papunesia,-18.83,169.17,Vanuatu
Ese Ejja,ese,ese,Tacanan,Pano-Tacanan,South America,-11.00,-66.00,BoliviaPeru
Esmeraldeño,esm,,Tacame,Tacame,South America,0.33,-79.83,Ecuador
Esselen,ess,esq,Esselen,Esselen,North America,36.25,-121.75,United States
Estonian,est,ekk,Finnic,Uralic,Eurasia,59.00,26.00,Estonia
Etsako,ets,ets,Edoid,Niger-Congo,Africa,7.25,6.50,Nigeria
Eudeve,eud,,Opata-Eudeve,Uto-Aztecan,North America,29.17,-109.67,Mexico
Even,evn,eve,Tungusic,Altaic,Eurasia,68.00,130.00,Russia
Evenki,eve,evn,Tungusic,Altaic,Eurasia,56.00,125.00,Russia
Ewe,ewe,ewe,Gbe,Niger-Congo,Africa,6.33,0.42,TogoGhana
Ewe (Anlo),ewa,ewe,Gbe,Niger-Congo,Africa,6.00,1.00,Ghana
Ewondo,ewo,ewo,Bantu,Niger-Congo,Africa,4.00,12.00,Cameroon
Eyak,eya,eya,Eyak,Na-Dene,North America,60.50,-145.00,United States
Faroese,far,fao,Germanic,Indo-European,Eurasia,62.00,-7.00,Denmark
Fasu,fas,faa,Fasu,Trans-New Guinea,Papunesia,-6.58,143.33,Papua New Guinea
Fe'fe',fef,fmp,Wide Grassfields,Niger-Congo,Africa,5.25,10.17,Cameroon
Fijian,fij,fij,Oceanic,Austronesian,Papunesia,-17.83,178.00,Fiji
Fijian (Wayan),fiw,wyy,Oceanic,Austronesian,Papunesia,-17.00,177.30,Fiji
Finnish,fin,fin,Finnic,Uralic,Eurasia,62.00,25.00,Finland
Finnish Sign Language,fsl,fse,Sign Languages,other,Eurasia,62.00,26.00,Finland
Fiote,fio,kng,Bantu,Niger-Congo,Africa,-5.50,14.00,Democratic Republic of Congo
Foe,foe,foi,Foe,Trans-New Guinea,Papunesia,-6.50,143.50,Papua New Guinea
Folopa,pdp,ppo,Teberan,Teberan-Pawaian,Papunesia,-7.00,144.50,Papua New Guinea
Fongbe,fon,fon,Gbe,Niger-Congo,Africa,6.42,2.17,Benin
Fordata,frd,frd,Central Malayo-Polynesian,Austronesian,Papunesia,-6.75,131.50,Indonesia
Fore,for,for,Fore-Gimi,Trans-New Guinea,Papunesia,-6.75,145.50,Papua New Guinea
Fox,fox,sac,Algonquian,Algic,North America,43.00,-83.00,United States
French,fre,fra,Romance,Indo-European,Eurasia,48.00,2.00,SwitzerlandFrance
Frisian,fri,fry,Germanic,Indo-European,Eurasia,53.00,5.00,NetherlandsGermany
Frisian (Eastern),fea,frs,Germanic,Indo-European,Eurasia,53.58,7.50,Germany
Frisian (North),fno,frr,Germanic,Indo-European,Eurasia,54.50,9.00,Germany
Frisian (Western),frw,fry,Germanic,Indo-European,Eurasia,53.00,6.00,Netherlands
Fula (Burkina Faso),fbf,fuh,Peul-Serer,Niger-Congo,Africa,14.00,0.00,Burkina Faso
Fula (Guinean),fgu,fuf,Peul-Serer,Niger-Congo,Africa,11.50,-12.50,Guinea
Fula (Senegal),fus,fuc,Peul-Serer,Niger-Congo,Africa,15.00,-14.00,Senegal
Fulfulde (Adamawa),fua,fub,Peul-Serer,Niger-Congo,Africa,9.17,13.50,Cameroon
Fulfulde (Maasina),fum,ffm,Peul-Serer,Niger-Congo,Africa,15.00,-5.00,Mali
Fulfulde (Nigerian),fni,fuv,Peul-Serer,Niger-Congo,Africa,10.25,11.25,Nigeria
Ful (Liptako),fli,fuh,Peul-Serer,Niger-Congo,Africa,13.50,0.50,Burkina Faso
Fulniô,ful,fun,Fulniô,Fulniô,South America,-8.00,-37.50,Brazil
Fur,fur,fvr,Fur,Fur,Africa,13.50,25.00,Sudan
Futuna-Aniwa,fut,fut,Oceanic,Austronesian,Papunesia,-19.53,170.22,Vanuatu
Futuna (East),fue,fud,Oceanic,Austronesian,Papunesia,-14.33,-178.17,Wallis and Futuna
Fuzhou,fuz,cdo,Chinese,Sino-Tibetan,Eurasia,26.00,119.50,ChinaMalaysiaThailand
Fyem,fye,pym,Benue-Congo Plateau,Niger-Congo,Africa,9.58,9.33,Nigeria
Gã,ga,gaa,Ga-Dangme,Niger-Congo,Africa,5.67,-0.17,Ghana
Gaagudju,gaa,gbu,Gaagudju,Gaagudju,Australia,-12.58,132.83,Australia
Gaalpu,glp,dhg,Western Pama-Nyungan,Pama-Nyungan,Australia,-12.67,136.75,Australia
Ga'anda,gnd,gqa,Biu-Mandara,Afro-Asiatic,Africa,10.33,12.58,Nigeria
Gadaba (Kondekor),gdk,gdb,Dravidian,Dravidian,Eurasia,18.75,83.50,India
Gade,gad,ged,Gade,Niger-Congo,Africa,8.67,7.42,Nigeria
Gadsup,gds,gaj,Gauwa,Trans-New Guinea,Papunesia,-6.25,146.00,Papua New Guinea
Gaelic (Scots),gae,gla,Celtic,Indo-European,Eurasia,57.00,-4.00,United Kingdom
Gagauz,gag,gag,Turkic,Altaic,Eurasia,46.33,28.67,Moldova
Gahuku,gah,gah,Gahuku,Trans-New Guinea,Papunesia,-6.00,145.42,Papua New Guinea
Galela,gll,gbi,North Halmaheran,North Halmaheran,Papunesia,2.42,128.33,Indonesia
Galician,glc,glg,Romance,Indo-European,Eurasia,43.00,-8.00,Spain
Galo,gal,adl,Tani,Sino-Tibetan,Eurasia,28.17,94.67,India
Gamilaraay,gml,kld,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-29.83,149.50,Australia
Gamo,gam,gmv,Ta-Ne-Omotic,Afro-Asiatic,Africa,6.67,37.25,Ethiopia
Gapapaiwa,gap,pwg,Oceanic,Austronesian,Papunesia,-9.75,149.83,Papua New Guinea
Garífuna,grf,cab,Antillean Arawakan,Arawakan,North America,15.67,-88.00,GuatemalaBelizeHonduras
Garo,gar,grt,Brahmaputran,Sino-Tibetan,Eurasia,25.67,90.50,India
Garrwa,grr,wrk,Garrwan,Garrwan,Australia,-17.08,137.17,Australia
Garus,grs,gyb,Mabuso,Trans-New Guinea,Papunesia,-4.95,145.67,Papua New Guinea
Gavião,gav,gvo,Monde,Tupian,South America,-10.67,-62.00,Brazil
Gayo,gay,gay,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,4.50,97.50,Indonesia
Gbaya (Northwest),gbk,gya,Gbaya-Manza-Ngbaka,Niger-Congo,Africa,6.00,15.00,Central African RepublicCameroon
Gbaya (Southwest),gbs,gso,Gbaya-Manza-Ngbaka,Niger-Congo,Africa,4.70,14.96,
Gbeya Bossangoa,gbb,gbp,Gbaya-Manza-Ngbaka,Niger-Congo,Africa,6.67,17.50,Central African Republic
Gela,gel,nlg,Oceanic,Austronesian,Papunesia,-9.08,160.25,Solomon Islands
Gelao,gla,gqu,Kadai,Tai-Kadai,Eurasia,22.92,105.50,Vietnam
Georgian,geo,kat,Kartvelian,Kartvelian,Eurasia,42.00,44.00,Georgia
German,ger,deu,Germanic,Indo-European,Eurasia,52.00,10.00,SwitzerlandGermanyAustria
German (Appenzell),gpz,gsw,Germanic,Indo-European,Eurasia,47.33,9.33,Switzerland
German (Bavarian),gba,bar,Germanic,Indo-European,Eurasia,49.00,11.50,GermanyAustria
German (Berlin),gbl,deu,Germanic,Indo-European,Eurasia,52.50,13.33,Germany
German (Bern),gbe,gsw,Germanic,Indo-European,Eurasia,47.00,7.42,Switzerland
German (Hannover),gha,deu,Germanic,Indo-European,Eurasia,52.42,9.67,Germany
German (Mansfeldisch),gma,deu,Germanic,Indo-European,Eurasia,51.58,11.50,Germany
German (Ostschweiz),gos,gsw,Germanic,Indo-European,Eurasia,47.42,9.25,Switzerland
German (Ripuarian),grp,ksh,Germanic,Indo-European,Eurasia,51.00,7.00,Belgium
German (Thurgau),gtg,gsw,Germanic,Indo-European,Eurasia,47.58,9.17,Switzerland
German (Thuringian),gth,deu,Germanic,Indo-European,Eurasia,51.00,11.00,Germany
German (Timisoara),gti,deu,Germanic,Indo-European,Eurasia,45.75,21.25,Romania
German (Upper Austrian),gau,bar,Germanic,Indo-European,Eurasia,47.00,14.00,Austria
German (Viennese),gvi,bar,Germanic,Indo-European,Eurasia,48.17,16.33,Austria
German (Westphalian),gwe,wep,Germanic,Indo-European,Eurasia,52.00,7.50,Germany
German (Zurich),gzu,gsw,Germanic,Indo-European,Eurasia,47.42,8.50,Switzerland
Ghotuo,gho,aaa,Edoid,Niger-Congo,Africa,7.08,5.75,Nigeria
Ghulfan,nbh,ghl,Nubian,Eastern Sudanic,Africa,12.00,31.00,Sudan
Gidabal,gid,gih,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-28.42,152.42,Australia
Gidar,gdr,gid,Biu-Mandara,Afro-Asiatic,Africa,10.00,14.00,Cameroon
Gilaki,gil,glk,Iranian,Indo-European,Eurasia,37.33,50.00,Iran
Gimira,gim,bcq,Ta-Ne-Omotic,Afro-Asiatic,Africa,7.00,35.75,Ethiopia
Gitksan,git,git,Tsimshianic,Tsimshianic,North America,55.33,-127.75,Canada
Giziga,giz,gis,Biu-Mandara,Afro-Asiatic,Africa,10.33,14.17,Cameroon
Goajiro,goa,guc,Guajiro-Paraujano,Arawakan,South America,12.00,-72.00,ColombiaVenezuela
Godié,gdi,god,Kru,Niger-Congo,Africa,5.42,-5.83,Côte d'Ivoire
Godoberi,god,gdo,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.67,46.08,Russia
Goemai,goe,ank,West Chadic,Afro-Asiatic,Africa,8.67,9.75,Nigeria
Gogodala,gog,ggw,Gogodala,Trans-New Guinea,Papunesia,-8.08,142.83,Papua New Guinea
Gojri,goj,gju,Indic,Indo-European,Eurasia,32.75,76.25,India
Gokana,gok,gkn,Ogonoid,Niger-Congo,Africa,4.58,7.33,Nigeria
Gola,gol,gol,Gola,Niger-Congo,Africa,7.25,-10.83,Sierra LeoneLiberia
Golin,gln,gvf,Chimbu-Wahgi,Trans-New Guinea,Papunesia,-6.33,144.75,Papua New Guinea
Gondi,gon,gno,Dravidian,Dravidian,Eurasia,19.00,81.00,India
Gooniyandi,goo,gni,Bunuban,Bunuban,Australia,-18.33,126.33,Australia
Gorontalo,grt,gor,Greater Central Philippine,Austronesian,Papunesia,0.50,122.00,Indonesia
Gorowa,gor,gow,Southern Cushitic,Afro-Asiatic,Africa,-4.50,36.50,Tanzania
Great Andamanese,gan,apq,Great Andamanese,Great Andamanese,Eurasia,12.00,92.67,India
Grebo,grb,grj,Kru,Niger-Congo,Africa,5.00,-8.00,Liberia
Greek (Cypriot),gcy,ell,Greek,Indo-European,Eurasia,34.75,33.00,Cyprus
Greek (Modern),grk,ell,Greek,Indo-European,Eurasia,39.00,22.00,Greece
Greek Sign Language,gsl,gss,Sign Languages,other,Eurasia,38.50,22.00,Greece
Greenlandic (East),gre,kal,Eskimo,Eskimo-Aleut,Eurasia,65.00,-40.00,Greenland
Greenlandic (South),gso,kal,Eskimo,Eskimo-Aleut,Eurasia,60.00,-44.00,Greenland
Greenlandic (West),grw,kal,Eskimo,Eskimo-Aleut,Eurasia,64.00,-51.00,Greenland
Guadeloupe Creole,gdl,gcf,Creoles and Pidgins,other,North America,16.25,-61.50,Guadeloupe
Guahibo,ghb,guh,Guahiban,Guahiban,South America,5.00,-69.00,Colombia
Guajajara,gjj,gub,Maweti-Guarani,Tupian,South America,-5.00,-46.00,Brazil
Guambiano,gmb,gum,Barbacoan,Barbacoan,South America,2.50,-76.67,Colombia
Guana,gna,gva,Mascoian,Mascoian,South America,-22.00,-58.00,Paraguay
Guanano,gno,gvc,Tucanoan,Tucanoan,South America,0.83,-69.50,ColombiaBrazil
Guaque,guq,cbd,Cariban,Cariban,South America,1.00,-72.08,Colombia
Guaraní,gua,gug,Maweti-Guarani,Tupian,South America,-26.00,-56.00,Paraguay
Guarijío,grj,var,Tarahumaran,Uto-Aztecan,North America,27.75,-108.67,Mexico
Guató,gto,gta,Guató,Guató,South America,-17.00,-58.00,Brazil
Guayabero,gyb,guo,Guahiban,Guahiban,South America,2.83,-72.00,Colombia
Gude,gud,gde,Biu-Mandara,Afro-Asiatic,Africa,10.42,13.42,NigeriaCameroon
Guduf,gdf,gdf,Biu-Mandara,Afro-Asiatic,Africa,11.23,13.80,NigeriaCameroon
Guere,gue,"gxx, wec",Kru,Niger-Congo,Africa,6.67,-7.75,Côte d'Ivoire
Gugada,gug,ktd,Western Pama-Nyungan,Pama-Nyungan,Australia,-30.00,134.00,Australia
Gugadj,ggd,ggd,Northern Pama-Nyungan,Pama-Nyungan,Australia,-18.50,140.50,Australia
Guhu-Samane,guh,ghs,Guhu-Samane,Trans-New Guinea,Papunesia,-8.00,147.33,Papua New Guinea
Guianese French Creole,gfr,gcr,Creoles and Pidgins,other,South America,5.00,-53.00,French Guiana
Guinea Bissau Crioulo,gbc,pov,Creoles and Pidgins,other,Africa,12.00,-15.00,Guinea-Bissau
Gujarati,guj,guj,Indic,Indo-European,Eurasia,23.00,72.00,India
Gula (in Central African Republic),gul,kcm,Bongo-Bagirmi,Central Sudanic,Africa,9.50,22.50,Central African Republic
Gula Iro,gir,glj,Bua,Niger-Congo,Africa,10.25,19.42,Chad
Gumatj,gmt,gnn,Western Pama-Nyungan,Pama-Nyungan,Australia,-12.50,135.50,Australia
Gumawana,gmw,gvs,Oceanic,Austronesian,Papunesia,-9.25,150.83,Papua New Guinea
Gumbaynggir,gum,kgs,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-30.17,152.50,Australia
Gumuz,gmz,guk,Gumuz,Gumuz,Africa,12.50,35.83,EthiopiaSudan
Gunbalang,gnb,wlg,Marne,Gunwinyguan,Australia,-12.00,134.00,Australia
Gungbe,guw,guw,Gbe,Niger-Congo,Africa,6.50,2.50,Benin
Gunin,gnn,gww,Worrorran,Worrorran,Australia,-14.25,126.67,Australia
Gunu,gun,yas,Bantu,Niger-Congo,Africa,4.58,11.25,Cameroon
Gününa Küne,gku,pue,Puelche,Chonan,South America,-41.00,-67.00,Argentina
Gunya,gny,gyy,Northern Pama-Nyungan,Pama-Nyungan,Australia,-26.50,146.50,Australia
Gupapuyngu,guf,guf,Western Pama-Nyungan,Pama-Nyungan,Australia,-12.00,136.00,Australia
Gureng Gureng,ggu,gnr,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-25.25,151.00,Australia
Gurenne,grn,gur,Oti-Volta,Niger-Congo,Africa,10.83,-0.92,Ghana
Gurindji,gji,gue,Western Pama-Nyungan,Pama-Nyungan,Australia,-17.67,130.67,Australia
Gurma,grm,gux,Oti-Volta,Niger-Congo,Africa,12.25,1.00,Burkina Faso
Guro,gro,goa,Eastern Mande,Mande,Africa,7.00,-6.00,Côte d'Ivoire
Gurr-goni,grg,gge,Burarran,Mangrida,Australia,-12.25,134.42,Australia
Gurung,gur,"ggn, gvr",Bodic,Sino-Tibetan,Eurasia,28.33,84.33,Nepal
Gusii,gus,guz,Bantu,Niger-Congo,Africa,-0.75,34.83,Kenya
Gutob,gdb,gbj,Munda,Austro-Asiatic,Eurasia,19.00,83.67,India
Guugu Yimidhirr,guu,kky,Northern Pama-Nyungan,Pama-Nyungan,Australia,-15.00,144.83,Australia
Gwari,gwa,gbr,Nupoid,Niger-Congo,Africa,9.50,7.00,Nigeria
Gworok,gwo,kcg,Benue-Congo Plateau,Niger-Congo,Africa,9.92,8.17,Nigeria
Gyarong (Cogtse),gyc,jya,Na-Qiangic,Sino-Tibetan,Eurasia,31.50,102.00,China
Hadza,had,hts,Hadza,Hadza,Africa,-3.75,35.17,Tanzania
Haida,hai,hai,Haida,Haida,North America,53.00,-132.00,CanadaUnited States
Haida (Northern),hno,hdn,Haida,Haida,North America,54.00,-132.50,Canada
Haisla,hsl,has,Northern Wakashan,Wakashan,North America,54.00,-128.75,Canada
Haitian Creole,hcr,hat,Creoles and Pidgins,other,North America,19.00,-72.50,Haiti
Hakka,hak,hak,Chinese,Sino-Tibetan,Eurasia,25.00,116.00,China
Halang,hln,hal,Bahnaric,Austro-Asiatic,Eurasia,14.50,107.50,Vietnam
Halbi,hlb,hlb,Indic,Indo-European,Eurasia,21.00,81.00,India
Halia,hal,hla,Oceanic,Austronesian,Papunesia,-5.25,154.67,Papua New Guinea
Halkomelem (Island),hli,hur,Central Salish,Salishan,North America,49.20,-123.00,Canada
Halkomelem (Upriver),hlu,hur,Central Salish,Salishan,North America,49.25,-121.92,Canada
Hamer,hmr,amf,South Omotic,Afro-Asiatic,Africa,5.00,36.50,Ethiopia
Hamtai,ham,hmt,Nuclear Angan,Trans-New Guinea,Papunesia,-7.50,146.25,Papua New Guinea
Hanga Hundi,hhu,wos,Ndu,Sepik,Papunesia,-3.83,142.92,Papua New Guinea
Hani,han,hni,Burmese-Lolo,Sino-Tibetan,Eurasia,23.00,103.00,China
Hanunóo,hnn,hnn,Greater Central Philippine,Austronesian,Papunesia,12.33,121.25,Philippines
Harari,hrr,har,Semitic,Afro-Asiatic,Africa,9.25,42.17,Ethiopia
Harsusi,hrs,hss,Semitic,Afro-Asiatic,Eurasia,20.00,56.50,Oman
Haruai,har,tmd,Piawi,Piawi,Papunesia,-5.08,144.17,Papua New Guinea
Hatam,hat,had,Hatim-Mansim,Hatim-Mansim,Papunesia,-1.00,134.00,Indonesia
Hausa,hau,hau,West Chadic,Afro-Asiatic,Africa,12.00,7.00,NigeriaNiger
Havasupai,hav,yuf,Yuman,Hokan,North America,35.75,-112.50,United States
Hawaiian,haw,haw,Oceanic,Austronesian,Papunesia,19.58,-155.50,United States
Hawaiian Creole,hwc,hwc,Creoles and Pidgins,other,North America,21.50,-158.00,United States
Hawrami,hwr,hac,Iranian,Indo-European,Eurasia,35.75,45.50,Iraq
Haya,hya,hay,Bantu,Niger-Congo,Africa,-2.00,31.50,Tanzania
Hayu,hay,vay,Himalayish,Sino-Tibetan,Eurasia,27.25,86.00,Nepal
Hdi,hdi,xed,Biu-Mandara,Afro-Asiatic,Africa,11.87,13.72,NigeriaCameroon
Hebrew (Modern),heb,heb,Semitic,Afro-Asiatic,Eurasia,31.50,34.83,Israel
Hebrew (Modern Ashkenazic),hba,heb,Semitic,Afro-Asiatic,Eurasia,31.75,35.17,Israel
Hehe,heh,heh,Bantu,Niger-Congo,Africa,-8.00,36.00,Tanzania
Heiltsuk,hei,hei,Northern Wakashan,Wakashan,North America,52.00,-127.50,Canada
Hemba,hem,hem,Bantu,Niger-Congo,Africa,-6.25,27.17,Democratic Republic of Congo
Herero,her,her,Bantu,Niger-Congo,Africa,-20.58,19.00,NamibiaBotswana
Hianacoto,hia,cbd,Cariban,Cariban,South America,0.83,-71.00,Colombia
Hidatsa,hid,hid,Missouri River Siouan,Siouan,North America,47.00,-102.50,United States
Hiligaynon,hil,hil,Greater Central Philippine,Austronesian,Papunesia,10.25,123.00,Philippines
Hindi,hin,hin,Indic,Indo-European,Eurasia,25.00,77.00,India
Hinuq,hnk,gin,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.17,46.00,Russia
Hixkaryana,hix,hix,Cariban,Cariban,South America,-1.00,-59.00,Brazil
Hlai (Baoding),lic,lic,Hlai,Tai-Kadai,Eurasia,19.00,109.50,China
Hmar,hma,hmr,Kuki-Chin,Sino-Tibetan,Eurasia,24.17,93.00,India
Hmong Daw,hmd,mww,Hmongic,Hmong-Mien,Eurasia,26.00,105.00,ChinaVietnam
Hmong Njua,hmo,hnj,Hmongic,Hmong-Mien,Eurasia,28.00,105.00,China
Ho,ho,hoc,Munda,Austro-Asiatic,Eurasia,22.00,86.00,India
=|Hoan,huc,huc,=|Hoan,Kxa,Africa,-25.50,25.00,Botswana
Hoava,hoa,hoa,Oceanic,Austronesian,Papunesia,-8.08,157.50,Solomon Islands
Holoholo,hol,hoo,Bantu,Niger-Congo,Africa,-5.17,29.92,Tanzania
Hong Kong Sign Language,hks,hks,Sign Languages,other,Eurasia,22.50,114.00,China
Hopi,hop,hop,Northern Uto-Aztecan,Uto-Aztecan,North America,36.00,-110.00,United States
Hre,hre,hre,Bahnaric,Austro-Asiatic,Eurasia,14.67,108.67,Vietnam
Hua,hua,ygr,Siane-Yagaria,Trans-New Guinea,Papunesia,-6.33,145.33,Papua New Guinea
Hualapai,hlp,yuf,Yuman,Hokan,North America,35.50,-113.75,United States
Huambisa,hmb,hub,Jivaroan,Jivaroan,South America,-4.00,-78.00,Peru
Huastec,htc,hus,Mayan,Mayan,North America,22.08,-99.33,Mexico
Huave (San Mateo del Mar),hve,huv,Huavean,Huavean,North America,16.22,-95.00,Mexico
Huichol,hui,hch,Corachol,Uto-Aztecan,North America,22.00,-104.00,Mexico
Huitoto (Minica),hmi,hto,Witoto,Witotoan,South America,-0.33,-74.00,Colombia
Huitoto (Muinane),hmu,hux,Witoto,Witotoan,South America,-2.42,-71.00,Peru
Huitoto (Murui),hum,huu,Witoto,Witotoan,South America,-1.00,-73.50,ColombiaBrazilPeru
Hunde,hnd,hke,Bantu,Niger-Congo,Africa,-1.17,28.83,Democratic Republic of Congo
Hungarian,hun,hun,Ugric,Uralic,Eurasia,47.00,20.00,Hungary
Hunzib,hzb,huz,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.17,46.25,Russia
Hup,hpd,jup,Nadahup,Nadahup,South America,0.17,-69.25,ColombiaBrazil
Hupa,hup,hup,Athapaskan,Na-Dene,North America,41.08,-123.67,United States
Hyow,hyo,csh,Kuki-Chin,Sino-Tibetan,Eurasia,22.08,92.42,Bangladesh
Iaai,iaa,iai,Oceanic,Austronesian,Papunesia,-20.42,166.58,New Caledonia
Iatmul,iat,ian,Ndu,Sepik,Papunesia,-4.25,143.25,Papua New Guinea
Iau,iau,tmu,Central Tariku,Lakes Plain,Papunesia,-3.17,137.50,Indonesia
Iban,iba,iba,Malayo-Sumbawan,Austronesian,Papunesia,2.00,112.00,Malaysia
Ibanag,ibn,ibg,Northern Luzon,Austronesian,Papunesia,17.50,121.67,Philippines
Ibibio,ibi,ibb,Lower Cross,Niger-Congo,Africa,5.25,7.83,Nigeria
Icelandic,ice,isl,Germanic,Indo-European,Eurasia,65.00,-17.00,Iceland
Icelandic Sign Language,ics,icl,Sign Languages,other,Eurasia,65.00,-18.00,Iceland
Idoma,ido,idu,Idomoid,Niger-Congo,Africa,6.92,7.50,Nigeria
Idu,idu,clk,Digaroan,Sino-Tibetan,Eurasia,29.33,95.83,India
Iduna,idn,viv,Oceanic,Austronesian,Papunesia,-9.33,150.25,Papua New Guinea
Ifira-Mele,mxe,mxe,Oceanic,Austronesian,Papunesia,-17.75,168.25,Vanuatu
Ifugao (Batad),ifu,ifb,Northern Luzon,Austronesian,Papunesia,16.83,121.08,Philippines
Ifumu,ifm,ifm,Bantu,Niger-Congo,Africa,-3.67,15.33,Congo
Igbo,igb,ibo,Igboid,Niger-Congo,Africa,6.00,7.33,Nigeria
Igede,ige,ige,Idomoid,Niger-Congo,Africa,7.00,8.17,Nigeria
Ignaciano,ign,ign,Bolivia-Parana,Arawakan,South America,-15.17,-65.42,Bolivia
Iha,iha,ihp,West Bomberai,Greater West Bomberai,Papunesia,-2.92,132.25,Indonesia
Ijo (Kolokuma),ijo,ijc,Ijoid,Ijoid,Africa,4.92,5.67,Nigeria
Ik,ik,ikx,Kuliak,Eastern Sudanic,Africa,3.75,34.17,Uganda
Ika,ika,arh,Arhuacic,Chibchan,South America,10.67,-73.75,Colombia
Ila,ila,ilb,Bantu,Niger-Congo,Africa,-15.58,26.50,ZambiaZimbabwe
Illinois,ill,mia,Algonquian,Algic,North America,40.00,-90.00,United States
Ilocano,ilo,ilo,Northern Luzon,Austronesian,Papunesia,16.00,121.00,Philippines
Imonda,imo,imn,Border,Border,Papunesia,-3.33,141.17,Papua New Guinea
Inanwatan,ina,szp,Inanwatan,South Bird's Head,Papunesia,-2.08,132.08,Indonesia
Indonesian,ind,ind,Malayo-Sumbawan,Austronesian,Papunesia,0.00,106.00,Indonesia
Indonesian (Jakarta),inj,ind,Malayo-Sumbawan,Austronesian,Papunesia,-6.17,106.75,Indonesia
Indonesian (Papuan),iir,pmy,Malayo-Sumbawan,Austronesian,Papunesia,-2.50,140.67,Indonesia
Indo-Pakistani Sign Language (Indian dialects),ipi,ins,Sign Languages,other,Eurasia,24.00,80.00,India
Indo-Pakistani Sign Language (Karachi dialect),ipk,pks,Sign Languages,other,Eurasia,28.00,68.00,Pakistan
Inga,iga,inb,Quechuan,Quechuan,South America,1.00,-77.00,Colombia
Ingessana,igs,tbi,Eastern Jebel,Eastern Sudanic,Africa,11.50,34.00,Sudan
Ingush,ing,inh,Nakh,Nakh-Daghestanian,Eurasia,43.17,45.08,Russia
Innamincka,inn,ynd,Central Pama-Nyungan,Pama-Nyungan,Australia,-27.75,140.75,Australia
International Sign,isl,ils,Sign Languages,other,North America,40.00,-170.00,
Inuktitut (Aivilingmiutut),inr,ike,Eskimo,Eskimo-Aleut,North America,63.00,-92.00,Canada
Inuktitut (Quebec-Labrador),iql,ike,Eskimo,Eskimo-Aleut,North America,62.00,-73.00,Canada
Inuktitut (Salluit),ins,ike,Eskimo,Eskimo-Aleut,North America,62.00,-76.00,Canada
Iñupiaq,inu,esi,Eskimo,Eskimo-Aleut,North America,67.00,-161.00,United States
Iquito,iqu,iqu,Zaparoan,Zaparoan,South America,-3.25,-74.00,Peru
Iranxe,irx,irn,Iranxe,Iranxe,South America,-13.00,-58.00,Brazil
Iraqw,irq,irk,Southern Cushitic,Afro-Asiatic,Africa,-4.00,35.50,Tanzania
Irarutu,irr,irh,South Halmahera - West New Guinea,Austronesian,Papunesia,-3.00,133.50,Indonesia
Irish,iri,gle,Celtic,Indo-European,Eurasia,53.00,-8.00,Ireland
Irish (Donegal),ird,gle,Celtic,Indo-European,Eurasia,55.00,-8.00,Ireland
Irish (Munster),irm,gle,Celtic,Indo-European,Eurasia,52.50,-9.00,Ireland
Irish Sign Language,irs,isg,Sign Languages,other,Eurasia,53.50,-7.50,Ireland
I'saka,isa,ksi,Krisa,Skou,Papunesia,-2.83,141.28,Papua New Guinea
Isekiri,ise,its,Defoid,Niger-Congo,Africa,5.67,5.50,Nigeria
Ishkashimi,ish,isk,Iranian,Indo-European,Eurasia,37.00,72.00,AfghanistanTajikistan
Isirawa,isi,srl,Isirawa,Tor-Kwerba,Papunesia,-1.83,138.50,Indonesia
Isnag,isn,isd,Northern Luzon,Austronesian,Papunesia,18.25,121.00,Philippines
Isoko,iso,iso,Edoid,Niger-Congo,Africa,5.50,6.25,Nigeria
Israeli Sign Language,iss,isr,Sign Languages,other,Eurasia,32.00,34.83,Israel
Italian,ita,ita,Romance,Indo-European,Eurasia,43.00,12.00,SwitzerlandItaly
Italian (Bologna),itb,egl,Romance,Indo-European,Eurasia,44.50,11.33,Italy
Italian (Fiorentino),ifi,ita,Romance,Indo-European,Eurasia,43.75,11.25,Italy
Italian (Genoa),itg,lij,Romance,Indo-European,Eurasia,44.42,8.95,Italy
Italian (Napolitanian),itn,nap,Romance,Indo-European,Eurasia,40.92,14.25,Italy
Italian (Turinese),itu,pms,Romance,Indo-European,Eurasia,45.00,7.67,Italy
