ISO Code,Language Name,Summary,Population Size,Institutional (%),Stable (%),Endangered (%),Extinct (%),Digital Support
brv,Western Bru,"Western Bru is a stable indigenous language of Laos and Thailand. It belongs to the Austro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
brw,Bellari,"Bellari is an endangered indigenous language of India. It belongs to the Dravidian language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
brx,Boro,"Boro is a stable indigenous language of India. It belongs to the Sino-Tibetan language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is taught as a subject of instruction in education.",1M to 1B,100%,0%,0%,0%,Ascending
bry,Burui,"Burui is an endangered indigenous language of Papua New Guinea. It belongs to the Sepik language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
brz,Bilbil,"Bilbil is an endangered indigenous language of Papua New Guinea. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
bsa,Abinomn,Abinomn is a stable indigenous language of Indonesia. It is an isolate that is not known to be related to any other language. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
bsb,"Bisaya, Brunei","Brunei Bisaya is a stable indigenous language of Brunei and Malaysia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
bsc,Oniyan,Oniyan is a stable indigenous language of Senegal and Guinea. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
bse,Wushi,Wushi is a stable indigenous language of Cameroon. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bsf,Bauchi,Bauchi is an endangered indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,0%,100%,0%,Still
bsg,Bashkardi,"Bashkardi is an endangered indigenous language of Iran. It belongs to the Indo-European language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bsh,Kateviri,Kateviri is a stable indigenous language of Afghanistan and Pakistan. It belongs to the Indo-European language family. The language is used as a first language by all in the ethnic community. It is used as a language of instruction in some schools.,10K to 1M,0%,100%,0%,0%,Emerging
bsi,Bassossi,"Bassossi is a stable indigenous language of Cameroon. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
bsj,Bangwinji,"Bangwinji is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
bsk,Burushaski,Burushaski is a stable indigenous language of Pakistan. It is an isolate that is not known to be related to any other language. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
bsl,Basa-Gumna,Basa-Gumna is an extinct language of Nigeria. It belongs to the Niger-Congo language family.,None,0%,0%,0%,100%,Still
bsm,Busami,"Busami is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bsn,Barasana-Eduria,Barasana-Eduria is a stable indigenous language of Colombia. It belongs to the Tucanoan language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
bso,Buso,"Buso is an endangered indigenous language of Chad. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by the elderly only. It is not known to be taught in schools.",None,0%,0%,100%,0%,Emerging
bsp,Baga Sitemu,Baga Sitemu is a stable indigenous language of Guinea. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bsq,Bassa,"Bassa is a stable indigenous language of Liberia. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Ascending
bsr,Bassa-Kontagora,Bassa-Kontagora is a dormant language of Nigeria. It belongs to the Niger-Congo language family. The language is no longer used as a first language by any remaining members of the ethnic community. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
bss,Akoose,Akoose is a stable indigenous language of Cameroon. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
bst,Basketo,"Basketo is a stable indigenous language of Ethiopia. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is used as a language of instruction in education.",10K to 1M,100%,0%,0%,0%,Emerging
bsu,Bahonsuai,"Bahonsuai is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bsv,Baga Sobané,Baga Sobané is an extinct language of Guinea. It belongs to the Niger-Congo language family.,None,0%,0%,0%,100%,Still
bsw,Baiso,Baiso is a stable indigenous language of Ethiopia. It belongs to the Afro-Asiatic language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
bsx,Yangkam,Yangkam is an endangered indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by the elderly only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
bsy,"Bisaya, Sabah","Sabah Bisaya is an endangered indigenous language of Malaysia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",None,0%,0%,100%,0%,Still
bta,Bata,Bata is a stable indigenous language of Nigeria and Cameroon. It belongs to the Afro-Asiatic language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
btc,Bati,Bati is an endangered indigenous language of Cameroon. It belongs to the Niger-Congo language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Emerging
btd,Batak Dairi,"Batak Dairi is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Ascending
bte,Gamo-Ningi,Gamo-Ningi is a dormant language of Nigeria. It belongs to the Niger-Congo language family. The language is no longer used as a first language by any remaining members of the ethnic community. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
btf,Birgit,"Birgit is a stable indigenous language of Chad. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
btg,Gagnoa Bété,"Gagnoa Bété is a stable indigenous language of Côte d’Ivoire. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
bth,Biatah Bidayuh,"Biatah Bidayuh is an endangered indigenous language of Malaysia and Indonesia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Emerging
bti,Burate,"Burate is an endangered indigenous language of Indonesia. It belongs to the East Geelvink Bay language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
btj,"Malay, Bacanese","Bacanese Malay is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family and is part of the Malay macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by the elderly only. It is not known to be taught in schools.",None,0%,0%,100%,0%,Still
btm,Batak Mandailing,"Batak Mandailing is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Ascending
btn,Ratagnon,"Ratagnon is an endangered indigenous language of the Philippines. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by the elderly only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bto,"Bikol, Rinconada",Rinconada Bikol is a stable indigenous language of the Philippines. It belongs to the Austronesian language family and is part of the Bikol macrolanguage. The language is used as a first language by all in the ethnic community. It is taught as a subject of instruction in some schools.,10K to 1M,0%,100%,0%,0%,Ascending
btp,Budibud,"Budibud is an endangered indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
btq,Batek,"Batek is an endangered indigenous language of Malaysia. It belongs to the Austro-Asiatic language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
btr,Baetora,"Baetora is a stable indigenous language of Vanuatu. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Still
bts,Batak Simalungun,"Batak Simalungun is a stable indigenous language of Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Ascending
btt,Bete-Bendi,Bete-Bendi is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
btu,Batu,"Batu is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
btv,Bateri,"Bateri is a stable indigenous language of Pakistan. It belongs to the Indo-European language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
btw,Butuanon,"Butuanon is an endangered indigenous language of the Philippines. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Emerging
btx,Batak Karo,"Batak Karo is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Ascending
bty,Bobot,Bobot is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by older adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
btz,Batak Alas-Kluet,"Batak Alas-Kluet is a stable indigenous language of Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Ascending
bub,Bua,"Bua is a stable indigenous language of Chad. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
buc,Bushi,"Bushi is an endangered indigenous language of Mayotte. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Emerging
bud,Ntcham,Ntcham is a stable indigenous language of Togo and Ghana. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
bue,Beothuk,Beothuk is an extinct language of Canada. It is an unclassified language.,None,0%,0%,0%,100%,Still
buf,Bushoong,"Bushoong is a stable indigenous language of the Democratic Republic of the Congo. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
bug,Bugis,"Bugis is a language of wider communication that originated in Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is taught as a subject of instruction in education.",1M to 1B,100%,0%,0%,0%,Ascending
buh,"Bunu, Younuo","Younuo Bunu is an endangered indigenous language of China. It belongs to the Hmong-Mien language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bui,Bongili,"Bongili is a stable indigenous language of Congo. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
buj,Basa-Gurmana,"Basa-Gurmana is an endangered indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
buk,Bugawac,Bugawac is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bul,Bulgarian,Bulgarian is the official national language of Bulgaria. It belongs to the Indo-European language family. It is used as a language of instruction in education.,1M to 1B,100%,0%,0%,0%,Vital
bum,Bulu,"Bulu is a language of wider communication that originated in Cameroon. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",1M to 1B,100%,0%,0%,0%,Ascending
bun,Sherbro,"Sherbro is a stable indigenous language of Sierra Leone. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
buo,Terei,Terei is a stable indigenous language of Papua New Guinea. It belongs to the South Bougainville language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bup,Busoa,Busoa is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
buq,Brem,"Brem is an endangered indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bus,Bokobaru,Bokobaru is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
but,Bungain,Bungain is an endangered indigenous language of Papua New Guinea. It belongs to the Torricelli language family. The language is used as a first language by adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
buu,Budu,"Budu is a stable indigenous language of the Democratic Republic of the Congo. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Ascending
buv,Bun,"Bun is a stable indigenous language of Papua New Guinea. It belongs to the Yuat language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Still
buw,Bubi,"Bubi is an endangered indigenous language of Gabon. It belongs to the Niger-Congo language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bux,Boghom,Boghom is a stable indigenous language of Nigeria. It belongs to the Afro-Asiatic language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
buy,Bullom So,"Bullom So is an endangered indigenous language of Sierra Leone. It belongs to the Niger-Congo language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
buz,Bukwen,"Bukwen is an endangered indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bva,Barein,"Barein is a stable indigenous language of Chad. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is taught as a subject of instruction in some schools.",Less than 10K,0%,100%,0%,0%,Emerging
bvb,Bube,"Bube is an endangered indigenous language of Equatorial Guinea. It belongs to the Niger-Congo language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Emerging
bvc,Baelelea,Baelelea is a stable indigenous language of the Solomon Islands. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Still
bvd,Baeggu,Baeggu is a stable indigenous language of the Solomon Islands. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bve,"Malay, Berau",Berau Malay is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family and is part of the Malay macrolanguage. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,0%,100%,0%,Still
bvf,Boor,Boor is a stable indigenous language of Chad. It belongs to the Afro-Asiatic language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
bvg,Bonkeng,"Bonkeng is an endangered indigenous language of Cameroon. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
bvh,Bure,Bure is an endangered indigenous language of Nigeria. It belongs to the Afro-Asiatic language family. The language is used as a first language by the elderly only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
bvi,Belanda Viri,Belanda Viri is a stable indigenous language of South Sudan. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bvj,Baan,"Baan is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Still
bvk,Bukat,"Bukat is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bvl,Bolivian Sign Language,Bolivian Sign Language is a stable indigenous language of Bolivia. It is a deaf community sign language. The language is used as a first language by deaf people of all ages.,10K to 1M,0%,100%,0%,0%,Emerging
bvm,Ngiemekohke,Ngiemekohke is a stable indigenous language of Cameroon. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bvn,Buna,Buna is a stable indigenous language of Papua New Guinea. It belongs to the Torricelli language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
bvo,Bolgo,Bolgo is a stable indigenous language of Chad. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
bvp,Bumang,"Bumang is an endangered indigenous language of China. It belongs to the Austro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bvq,Birri,"Birri is an endangered indigenous language of the Central African Republic. It belongs to the Nilo-Saharan language family. Direct evidence is lacking, but the language is thought to be used as a first language by older adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bvr,Burarra,"Burarra is a stable indigenous language of Australia. It belongs to the Australian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Ascending
bvt,Bati,"Bati is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bvu,"Malay, Bukit",Bukit Malay is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family and is part of the Malay macrolanguage. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
bvv,Baniva,Baniva is an extinct language of Venezuela. It belongs to the Maipurean language family.,None,0%,0%,0%,100%,Still
bvw,Boga,"Boga is a stable indigenous language of Nigeria. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
bvx,Dibole,Dibole is a stable indigenous language of Congo. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
bvy,Baybayanon,"Baybayanon is a stable indigenous language of the Philippines. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
bvz,Bauzi,Bauzi is a stable indigenous language of Indonesia. It belongs to the East Geelvink Bay language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
bwa,Bwatoo,"Bwatoo is an endangered indigenous language of New Caledonia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
bwb,Namosi-Naitasiri-Serua,"Namosi-Naitasiri-Serua is a stable indigenous language of Fiji. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
bwc,Bwile,"Bwile is an endangered indigenous language of Zambia and the Democratic Republic of the Congo. It belongs to the Niger-Congo language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
bwd,Bwaidoka,Bwaidoka is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
bwe,"Karen, Bwe",Bwe Karen is a stable indigenous language of Myanmar. It belongs to the Sino-Tibetan language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bwf,Boselewa,Boselewa is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
bwg,Barwe,"Barwe is an endangered indigenous language of Mozambique and Zimbabwe. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Still
bwh,Bishuo,Bishuo is an extinct language of Cameroon. It belongs to the Niger-Congo language family.,None,0%,0%,0%,100%,Emerging
bwi,Baniwa,"Baniwa is an endangered indigenous language of Venezuela. It belongs to the Maipurean language family. Direct evidence is lacking, but the language is thought to be used as a first language by older adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
bwj,Láá Láá Bwamu,Láá Láá Bwamu is a stable indigenous language of Burkina Faso. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
bwk,Bauwaki,"Bauwaki is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Still
bwl,Bwela,"Bwela is a stable indigenous language of the Democratic Republic of the Congo. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
bwm,Biwat,"Biwat is a stable indigenous language of Papua New Guinea. It belongs to the Yuat language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Still
bwn,"Bunu, Wunai","Wunai Bunu is an endangered indigenous language of China. It belongs to the Hmong-Mien language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Still
bwo,Borna,"Borna is an endangered indigenous language of Ethiopia. It belongs to the Afro-Asiatic language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Emerging
bwp,Mandobo Bawah,"Mandobo Bawah is an endangered indigenous language of Indonesia. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Still
bwq,Southern Bobo Madaré,Southern Bobo Madaré is a stable indigenous language of Burkina Faso. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bwr,Bura-Pabir,"Bura-Pabir is an endangered indigenous language of Nigeria. It belongs to the Afro-Asiatic language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Ascending
bws,Bomboma,"Bomboma is an endangered indigenous language of the Democratic Republic of the Congo. It belongs to the Niger-Congo language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Still
bwt,Bafaw-Balong,"Bafaw-Balong is a stable indigenous language of Cameroon. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
bwu,Buli,Buli is a stable indigenous language of Ghana. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bww,Bwa,Bwa is a stable indigenous language of the Democratic Republic of the Congo. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bwx,"Bunu, Bu-Nao",Bu-Nao Bunu is an endangered indigenous language of China. It belongs to the Hmong-Mien language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,0%,100%,0%,Emerging
bwy,"Bwamu, Cwi",Cwi Bwamu is a stable indigenous language of Burkina Faso. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bwz,Bwisi,Bwisi is a stable indigenous language of Congo and Gabon. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
bxa,Bauro,Bauro is a stable indigenous language of the Solomon Islands. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
